"*path","*content","*id","*title","*title_breadcrumb","*title_h1","*title_label","*logical_path","*list_flg","*authlevel","*layout","*extension","*orderby","*keywords","*description","*category_top_flg"
"/",,,"ホーム",,,,,1,,,,,"ダミー, キーワード,1","このページはXXXX。ダミーディスクリプション1",
"/products/",,"A1","製品情報",,,,,1,,,,,"ダミー, キーワード,2","このページはXXXX。ダミーディスクリプション2",
"/products/camera/",,"A1-1","デジタル一眼レフカメラ",,,,"A1",1,,,,,"ダミー, キーワード,3","このページはXXXX。ダミーディスクリプション3",
"/products/camera/b99/",,"A1-1-1","β99",,,,"A1>A1-1",1,,,,,"ダミー, キーワード,4","このページはXXXX。ダミーディスクリプション4",
"/products/camera/b99/featurea.html",,"A1-1-1-1","特徴",,,,"A1>A1-1>A1-1-1",1,,,,,"ダミー, キーワード,5","このページはXXXX。ダミーディスクリプション5",
"/products/camera/b99/design.html",,"A1-1-1-2","デザイン",,,,"A1>A1-1>A1-1-1",1,,,,,"ダミー, キーワード,6","このページはXXXX。ダミーディスクリプション6",
"/products/camera/b99/spec.html",,"A1-1-1-3","仕様",,,,"A1>A1-1>A1-1-1",1,,,,,"ダミー, キーワード,7","このページはXXXX。ダミーディスクリプション7",
"/products/camera/a101/",,"A1-1-2","α101",,,,"A1>A1-1",1,,,,,"ダミー, キーワード,8","このページはXXXX。ダミーディスクリプション8",
"/products/camera/a101/featurea.html",,"A1-1-2-1","特徴",,,,"A1>A1-1>A1-1-2",1,,,,,"ダミー, キーワード,9","このページはXXXX。ダミーディスクリプション9",
"/products/camera/a101/design.html",,"A1-1-2-2","デザイン",,,,"A1>A1-1>A1-1-2",1,,,,,"ダミー, キーワード,10","このページはXXXX。ダミーディスクリプション10",
"/products/camera/a101/spec.html",,"A1-1-2-3","仕様",,,,"A1>A1-1>A1-1-2",1,,,,,"ダミー, キーワード,11","このページはXXXX。ダミーディスクリプション11",
"/products/camera/next-7/",,"A1-1-3","NEXT-7",,,,"A1>A1-1",1,,,,,"ダミー, キーワード,12","このページはXXXX。ダミーディスクリプション12",
"/products/camera/next-7/featurea.html",,"A1-1-3-1","特徴",,,,"A1>A1-1>A1-1-3",1,,,,,"ダミー, キーワード,13","このページはXXXX。ダミーディスクリプション13",
"/products/camera/next-7/design.html",,"A1-1-3-2","デザイン",,,,"A1>A1-1>A1-1-3",1,,,,,"ダミー, キーワード,14","このページはXXXX。ダミーディスクリプション14",
"/products/camera/next-7/spec.html",,"A1-1-3-3","仕様",,,,"A1>A1-1>A1-1-3",1,,,,,"ダミー, キーワード,15","このページはXXXX。ダミーディスクリプション15",
"/products/videocamera/",,"A1-2","デジタルビデオカメラ",,,,"A1",1,,,,,"ダミー, キーワード,16","このページはXXXX。ダミーディスクリプション16",
"/products/videocamera/b99/",,"A1-2-1","β99",,,,"A1>A1-2",1,,,,,"ダミー, キーワード,17","このページはXXXX。ダミーディスクリプション17",
"/products/videocamera/a101/",,"A1-2-2","α101",,,,"A1>A1-2",1,,,,,"ダミー, キーワード,18","このページはXXXX。ダミーディスクリプション18",
"/products/videocamera/next-7/",,"A1-2-3","NEXT-7",,,,"A1>A1-2",1,,,,,"ダミー, キーワード,19","このページはXXXX。ダミーディスクリプション19",
"/products/printer/",,"A1-3","プリンター",,,,"A1",1,,,,,"ダミー, キーワード,20","このページはXXXX。ダミーディスクリプション20",
"/products/printer/b99/",,"A1-3-1","β99",,,,"A1>A1-3",1,,,,,"ダミー, キーワード,21","このページはXXXX。ダミーディスクリプション21",
"/products/printer/a101/",,"A1-3-2","α101",,,,"A1>A1-3",1,,,,,"ダミー, キーワード,22","このページはXXXX。ダミーディスクリプション22",
"/products/printer/next-7/",,"A1-3-3","NEXT-7",,,,"A1>A1-3",1,,,,,"ダミー, キーワード,23","このページはXXXX。ダミーディスクリプション23",
"/products/scanner/",,"A1-4","スキャナー",,,,"A1",1,,,,,"ダミー, キーワード,24","このページはXXXX。ダミーディスクリプション24",
"/products/scanner/b99/",,"A1-4-1","β99",,,,"A1>A1-4",1,,,,,"ダミー, キーワード,25","このページはXXXX。ダミーディスクリプション25",
"/products/scanner/a101/",,"A1-4-2","α101",,,,"A1>A1-4",1,,,,,"ダミー, キーワード,26","このページはXXXX。ダミーディスクリプション26",
"/products/scanner/next-7/",,"A1-4-3","NEXT-7",,,,"A1>A1-4",1,,,,,"ダミー, キーワード,27","このページはXXXX。ダミーディスクリプション27",
"/products/game/",,"A1-5","ゲーム",,,,"A1",1,,,,,"ダミー, キーワード,28","このページはXXXX。ダミーディスクリプション28",
"/products/game/b99/",,"A1-5-1","β99",,,,"A1>A1-5",1,,,,,"ダミー, キーワード,29","このページはXXXX。ダミーディスクリプション29",
"/products/game/a101/",,"A1-5-2","α101",,,,"A1>A1-5",1,,,,,"ダミー, キーワード,30","このページはXXXX。ダミーディスクリプション30",
"/products/game/next-7/",,"A1-5-3","NEXT-7",,,,"A1>A1-5",1,,,,,"ダミー, キーワード,31","このページはXXXX。ダミーディスクリプション31",
"/products/pc/",,"A1-6","PC",,,,"A1",1,,,,,"ダミー, キーワード,32","このページはXXXX。ダミーディスクリプション32",
"/products/pc/b99/",,"A1-6-1","β99",,,,"A1>A1-6",1,,,,,"ダミー, キーワード,33","このページはXXXX。ダミーディスクリプション33",
"/products/pc/a101/",,"A1-6-2","α101",,,,"A1>A1-6",1,,,,,"ダミー, キーワード,34","このページはXXXX。ダミーディスクリプション34",
"/products/pc/next-7/",,"A1-6-3","NEXT-7",,,,"A1>A1-6",1,,,,,"ダミー, キーワード,35","このページはXXXX。ダミーディスクリプション35",
"/products/smartphones/",,"A1-7","スマートフォン",,,,"A1",1,,,,,"ダミー, キーワード,36","このページはXXXX。ダミーディスクリプション36",
"/products/smartphones/b99/",,"A1-7-1","β99",,,,"A1>A1-7",1,,,,,"ダミー, キーワード,37","このページはXXXX。ダミーディスクリプション37",
"/products/smartphones/a101/",,"A1-7-2","α101",,,,"A1>A1-7",1,,,,,"ダミー, キーワード,38","このページはXXXX。ダミーディスクリプション38",
"/products/smartphones/next-7/",,"A1-7-3","NEXT-7",,,,"A1>A1-7",1,,,,,"ダミー, キーワード,39","このページはXXXX。ダミーディスクリプション39",
"/campaign/",,"A2","キャンペーン",,,,,1,,,,,"ダミー, キーワード,40","このページはXXXX。ダミーディスクリプション40",
"/campaign/campaign-a/",,"A2-1","キャンペーンA",,,,"A2",1,,,,,"ダミー, キーワード,41","このページはXXXX。ダミーディスクリプション41",
"/campaign/campaign-b/",,"A2-2","キャンペーンB",,,,"A2",1,,,,,"ダミー, キーワード,42","このページはXXXX。ダミーディスクリプション42",
"/campaign/campaign-c/",,"A2-3","キャンペーンC",,,,"A2",1,,,,,"ダミー, キーワード,43","このページはXXXX。ダミーディスクリプション43",
"/campaign/campaign-d/",,"A2-4","キャンペーンD",,,,"A2",1,,,,,"ダミー, キーワード,44","このページはXXXX。ダミーディスクリプション44",
"/recruit/",,"A3","採用情報",,,,,1,,,,,"ダミー, キーワード,45","このページはXXXX。ダミーディスクリプション45",
"/recruit/jinji.html",,"A3-1","人事制度",,,,"A3",1,,,,,"ダミー, キーワード,46","このページはXXXX。ダミーディスクリプション46",
"/recruit/experience.html",,"A3-2","経験者採用",,,,"A3",1,,,,,"ダミー, キーワード,47","このページはXXXX。ダミーディスクリプション47",
"/recruit/graduate.html",,"A3-3","新卒採用",,,,"A3",1,,,,,"ダミー, キーワード,48","このページはXXXX。ダミーディスクリプション48",
"/recruit/group.html",,"A3-4","グループ採用情報",,,,"A3",1,,,,,"ダミー, キーワード,49","このページはXXXX。ダミーディスクリプション49",
"/corporate/",,"A4","会社概要",,,,,1,,,,,"ダミー, キーワード,50","このページはXXXX。ダミーディスクリプション50",
"/corporate/organization.html",,"A4-1","組織",,,,"A4",1,,,,,"ダミー, キーワード,51","このページはXXXX。ダミーディスクリプション51",
"/corporate/officer.html",,"A4-2","役員一覧",,,,"A4",1,,,,,"ダミー, キーワード,52","このページはXXXX。ダミーディスクリプション52",
"/corporate/history.html",,"A4-3","沿革",,,,"A4",1,,,,,"ダミー, キーワード,53","このページはXXXX。ダミーディスクリプション53",
"/corporate/maps.html",,"A4-4","主要事業所・地図",,,,"A4",1,,,,,"ダミー, キーワード,54","このページはXXXX。ダミーディスクリプション54",
"/corporate/newsrelease/",,"A4-5","ニュースリリース",,,,"A4",1,,,,,"ダミー, キーワード,55","このページはXXXX。ダミーディスクリプション55",
"/corporate/group.html",,"A4-6","関連会社一覧",,,,"A4",1,,,,,"ダミー, キーワード,56","このページはXXXX。ダミーディスクリプション56",
"/inquiry/",,"B1","お問い合わせ",,,,,0,,,,,"ダミー, キーワード,57","このページはXXXX。ダミーディスクリプション57",
"/support/",,"B2","サポート情報",,,,,0,,,,,"ダミー, キーワード,58","このページはXXXX。ダミーディスクリプション58",
"/sitemap/",,"B3","サイトマップ",,,,,0,,,,,"ダミー, キーワード,59","このページはXXXX。ダミーディスクリプション59",
